Ball Function, Pin Type, Bank, Ball Number
IOL_3A,         DPIO,  3,  C1
IOL_3B,         DPIO,  3,  C2
IOL_4A,         DPIO,  3,  F4
IOL_4B,         DPIO,  3,  D2
IOL_5A,         DPIO,  3,  G5
IOL_5B,         DPIO,  3,  D1
IOL_6A,         DPIO,  3,  G4
IOL_6B,         DPIO,  3,  E3
IOL_7A,         DPIO,  3,  H5
IOL_7B,         DPIO,  3,  E2
IOL_8A,         DPIO,  3,  G3
IOL_8B,         DPIO,  3,  F3
IOL_9A,         DPIO,  3,  H3
IOL_9B,         DPIO,  3,  F2
IOL_10A,        DPIO,  3,  H6
IOL_10B,        DPIO,  3,  F1
IOL_11A,        DPIO,  3,  H4
IOL_11B,        DPIO,  3,  G2
IOL_12A,        DPIO,  3,  J4
IOL_12B,        DPIO,  3,  H2
IOL_13A,        DPIO,  3,  J5
IOL_13B_GBIN7,  GBIN,  3,  G1
IOL_14A_GBIN6,  GBIN,  3,  J3
IOL_14B,        DPIO,  3,  H1
IOL_15A,        DPIO,  3,  J2
IOL_15B,        DPIO,  3,  J1
IOL_16A,        DPIO,  3,  K1
IOL_16B,        DPIO,  3,  K3
IOL_17A,        DPIO,  3,  L4
IOL_17B,        DPIO,  3,  L1
IOL_18A,        DPIO,  3,  K4
IOL_18B,        DPIO,  3,  M1
IOL_19A,        DPIO,  3,  L6
IOL_19B,        DPIO,  3,  L3
IOL_20A,        DPIO,  3,  K5
IOL_20B,        DPIO,  3,  M2
IOL_21A,        DPIO,  3,  L7
IOL_21B,        DPIO,  3,  N2
IOL_22A,        DPIO,  3,  M6
IOL_22B,        DPIO,  3,  M3
IOL_23A,        DPIO,  3,  L5
IOL_23B,        DPIO,  3,  N3
IOL_24A,        DPIO,  3,  P1
IOL_24B,        DPIO,  3,  M4
IOL_25A,        DPIO,  3,  P2
IOL_25B,        DPIO,  3,  M5
IOL_26A,        DPIO,  3,  R1
IOL_26B,        DPIO,  3,  N4
